"","Full.Name","Place","Tires","Car.Make","Car.Model","Car.Year","Course","Run","Time","Run.Rank"
"178","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C2","R1",68.709,2
"179","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C2","R1",70.034,3
"180","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C2","R1",0,NA
"181","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.148,2
"182","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C2","R1",68.93,2
"183","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C2","R1",69.414,3
"184","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C2","R1",72.298,3
"185","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.117,3
"186","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C2","R1",69.045,1
"187","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.544,3
"188","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.482,1
"189","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C2","R1",69.405,1
"190","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C2","R1",70.041,2
"191","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R1",69.626,1
"192","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C2","R1",76.936,3
"193","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C2","R1",71.088,3
"194","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.184,3
"195","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",69.686,1
"196","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C2","R1",71.912,3
"197","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C2","R1",69.609,1
"198","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C2","R1",69.638,1
"199","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R1",69.86,1
"200","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C2","R1",71.549,2
"201","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.71,1
"202","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",70.604,2
"203","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.726,1
"204","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C2","R1",70.405,2
"205","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.402,3
"206","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C2","R1",70.332,1
"207","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",73.35,3
"208","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C2","R1",71.659,3
"209","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.793,3
"210","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.066,3
"211","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R1",72.41,3
"212","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C2","R1",70.888,1
"213","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.102,1
"214","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C2","R1",71.907,3
"215","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C2","R1",69.557,1
"216","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",70.613,1
"217","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C2","R1",71.583,2
"218","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.009,2
"219","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C2","R1",71.002,1
"220","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",71.07,1
"221","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C2","R1",72.474,2
"222","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",72.194,2
"223","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C2","R1",72.242,3
"224","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C2","R1",73.352,2
"225","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C2","R1",72.353,1
"226","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C2","R1",72.695,2
"227","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C2","R1",72.229,2
"228","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R1",73.971,3
"229","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C2","R1",72.547,2
"230","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C2","R1",73.132,3
"231","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C2","R1",72.277,1
"232","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C2","R1",80.525,3
"233","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C2","R1",73.74,2
"234","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R1",82.861,3
"235","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",78.529,3
"236","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C2","R1",80.617,3
"237","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C2","R2",68.373,1
"238","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C2","R2",68.317,2
"239","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C2","R2",68.872,2
"240","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C2","R2",68.94,1
"241","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C2","R2",70.791,3
"242","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C2","R2",68.674,1
"243","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.474,1
"244","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.872,2
"245","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.61,2
"246","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.61,1
"247","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C2","R2",73.747,3
"248","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C2","R2",73.706,3
"249","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C2","R2",71.89,3
"250","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R2",69.879,2
"251","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C2","R2",69.326,2
"252","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C2","R2",69.545,1
"253","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C2","R2",69.497,2
"254","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",69.844,2
"255","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C2","R2",69.694,2
"256","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C2","R2",71.275,3
"257","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C2","R2",69.732,2
"258","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R2",69.901,2
"259","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C2","R2",0,NA
"260","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C2","R2",0,NA
"261","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",70.751,3
"262","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C2","R2",0,NA
"263","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C2","R2",71.969,3
"264","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.76,2
"265","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C2","R2",70.466,2
"266","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",70.398,2
"267","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C2","R2",70.956,2
"268","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.843,2
"269","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.452,1
"270","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R2",70.594,1
"271","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C2","R2",71.008,2
"272","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C2","R2",71.484,2
"273","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C2","R2",71.819,2
"274","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C2","R2",71.964,3
"275","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R2",71.165,2
"276","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C2","R2",72.121,3
"277","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C2","R2",70.332,1
"278","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C2","R2",76.891,3
"279","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",74.418,2
"280","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C2","R2",70.777,1
"281","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R2",71.116,1
"282","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C2","R2",71.85,2
"283","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C2","R2",76.916,3
"284","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C2","R2",72.789,2
"285","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C2","R2",71.93,1
"286","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C2","R2",71.895,1
"287","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R2",72.549,1
"288","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C2","R2",72.969,3
"289","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C2","R2",73.015,2
"290","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C2","R2",73.495,3
"291","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C2","R2",73.162,1
"292","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C2","R2",73.668,1
"293","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R2",78.288,1
"294","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R2",76.086,2
"295","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C2","R2",79.584,1
"296","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C2","R3",72.607,3
"297","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C2","R3",68.227,1
"298","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C2","R3",68.715,1
"299","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C2","R3",70.72,3
"300","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C2","R3",68.615,1
"301","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C2","R3",69.04,2
"302","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C2","R3",69.985,2
"303","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C2","R3",69.818,1
"304","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C2","R3",79.767,3
"305","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C2","R3",70.44,2
"306","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C2","R3",71.775,2
"307","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C2","R3",71.271,2
"308","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C2","R3",69.586,1
"309","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R3",72.108,3
"310","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C2","R3",69.299,1
"311","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C2","R3",70.081,2
"312","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C2","R3",69.407,1
"313","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R3",69.902,3
"314","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C2","R3",69.383,1
"315","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C2","R3",69.698,2
"316","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C2","R3",71.542,3
"317","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R3",70.236,3
"318","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C2","R3",70.467,1
"319","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C2","R3",69.735,2
"320","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R3",70.385,1
"321","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C2","R3",69.733,2
"322","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C2","R3",69.998,1
"323","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C2","R3",70.586,1
"324","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C2","R3",70.618,3
"325","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R3",70.096,1
"326","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C2","R3",70.842,1
"327","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C2","R3",70.093,1
"328","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C2","R3",71.035,2
"329","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R3",71.081,2
"330","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C2","R3",71.47,3
"331","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C2","R3",73.591,3
"332","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C2","R3",71.472,1
"333","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C2","R3",70.22,2
"334","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R3",74.37,3
"335","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C2","R3",71.167,1
"336","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C2","R3",73.361,3
"337","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C2","R3",71.689,2
"338","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R3",74.959,3
"339","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C2","R3",73.539,3
"340","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R3",73.349,3
"341","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C2","R3",71.52,1
"342","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C2","R3",71.042,1
"343","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C2","R3",72.819,3
"344","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C2","R3",72.758,3
"345","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C2","R3",75.839,3
"346","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C2","R3",73.383,2
"347","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C2","R3",71.677,1
"348","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C2","R3",72.986,1
"349","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C2","R3",72.875,2
"350","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C2","R3",75.654,2
"351","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C2","R3",73.787,3
"352","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R3",80.321,2
"353","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R3",75.508,1
"354","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C2","R3",79.857,2
